Артикул распродажи,Наименование,Бренд,Модель,Полная цена,Обычная цена,Цена распродажи,Скидка в %,Описание,Ссылка на товар,Изображение уцененного,Обычное изображение
425185399,Ikea,Потолочный светильник,Мелоди 803.865.45,78.34,43.09,43.09,45,Товар новый. Некомплект: нет плафона. Гарантия 6 месяцев,https://www.21vek.by/chandeliers_lights/80386545_ikea.html,https://cdn21vek.by/img/galleries/605/171/sale/4010096/preview/323826297461876472.jpg,https://cdn21vek.by/img/galleries/605/171/preview/80386545_ikea_5b2ac116eeda3.jpeg
425418098,Ikea,Потолочный светильник,Мелоди 803.865.45,78.34,43.09,49.35,45,"Товар новый. Нетоварный вид упаковки. Царапины, потертости, темное пятно на плафоне.",https://www.21vek.by/chandeliers_lights/80386545_ikea.html,https://cdn21vek.by/img/galleries/605/171/sale/4127438/preview/677783991355536699.jpg,https://cdn21vek.by/img/galleries/605/171/preview/80386545_ikea_5b2ac116eeda3.jpeg
425447043,Cezaris,Плита газовая,ПГ 2150-04,475.0,356.25,356.25,25,"Новая, скол на углу рабочей поверхности, вмятины на нижней лицевой планке, повреждена заводская упаковка, полная гарантия.",https://www.21vek.by/cookers/215004_cezaris.html,https://cdn21vek.by/img/galleries/5975/58/sale/4174789/preview/5396872090078354261.jpg,https://cdn21vek.by/img/galleries/5975/58/preview/215004_cezaris_5e9d3ef89cdbb.png
423576391,Aimoto,Умные часы детские,Kid Mini Супергерои / 8001106,152.0,69.92,69.92,54,"Были в эксплуатации, после сервисного обслуживания (замена динамика), царапины. Гарантия до 16.12.2022г.",https://www.21vek.by/smart_watches/kidmini8001106_aimoto.html,https://cdn21vek.by/img/galleries/6523/861/sale/3949853/preview/3157546618471311115.jpg,https://cdn21vek.by/img/galleries/6523/861/preview/kidmini8001106_aimoto_6092b5821a079.jpeg
425333443,Zanussi,Накопительный водонагреватель,ZWH/S 50 Filicia,550.0,330.0,330.0,40,"Был в эксплуатации, после сервиса, царапины, вмятины, сколы эмали, гарантия до 22.03.2023г.",https://www.21vek.by/waterheaters/zwhs50filicia_zanussi.html,https://cdn21vek.by/img/galleries/6405/390/sale/4077456/preview/1468305180122323067.jpg,https://cdn21vek.by/img/galleries/6405/390/preview/zwhs50filicia_zanussi_6038ca8482f9d.jpeg
425447733,Redmond,Электрочайник,RK-M183,124.9,61.2,61.2,51,"Был в эксплуатации, после сервисного обслуживания (замена контактной группы подставки, термоавтомат), царапины, загрязнения, гарантия 3 месяца.",https://www.21vek.by/teapots/rkm183_redmond.html,https://cdn21vek.by/img/galleries/400/868/sale/4048557/preview/4784699794704046483.jpg,https://cdn21vek.by/img/galleries/400/868/preview/rkm183_redmond_58230f89c9f7c.jpeg
425221228,Гамма,Шкаф с зеркалом для ванной,11/1,254.07,154.98,154.98,39,Потертоти на декоративных заглушках петель фасадов,https://www.21vek.by/bathroom_furniture/111_gamma.html,https://cdn21vek.by/img/galleries/358/701/sale/4059164/preview/7205734892629641790.jpg,https://cdn21vek.by/img/galleries/358/701/preview/111_gamma_57a31d0e8c471.jpeg
425344683,Гамма,Шкаф с зеркалом для ванной,11/1,254.07,154.98,165.15,39,Царапины на декоративных заглушках петель фасадов.,https://www.21vek.by/bathroom_furniture/111_gamma.html,https://cdn21vek.by/img/galleries/358/701/sale/4077754/preview/8992105256083853363.jpg,https://cdn21vek.by/img/galleries/358/701/preview/111_gamma_57a31d0e8c471.jpeg
425184927,Седия,Стул,Romeo,100.0,41.0,47.0,53,"Новый, потертости на ножках, одна ножка немного короче, гарантия 14 дней",https://www.21vek.by/chairs/romeo_sedija_012.html,https://cdn21vek.by/img/galleries/5765/666/sale/4015823/preview/2431601996977370258.jpg,https://cdn21vek.by/img/galleries/5765/666/preview/romeo_sedija_012_5dcb9361e12b7.jpeg
425188667,Седия,Стул,Romeo,100.0,41.0,54.0,53,"Новый, потертости на ножках, загрязнения на обивке",https://www.21vek.by/chairs/romeo_sedija_012.html,https://cdn21vek.by/img/galleries/5765/666/sale/4025129/preview/7982412042821645246.jpg,https://cdn21vek.by/img/galleries/5765/666/preview/romeo_sedija_012_5dcb9361e12b7.jpeg
425442428,Седия,Стул,Romeo,100.0,41.0,70.0,53,Новый. Нет фурнитуры,https://www.21vek.by/chairs/romeo_sedija_012.html,,https://cdn21vek.by/img/galleries/5765/666/preview/romeo_sedija_012_5dcb9361e12b7.jpeg
425463488,Седия,Стул,Romeo,100.0,41.0,41.0,53,"Новый, нет фурнитруы в комплекте. Местами не ровно прошит шов. Гарантия 6 месяцев.",https://www.21vek.by/chairs/romeo_sedija_012.html,https://cdn21vek.by/img/galleries/5765/666/sale/3912009/preview/2488125731402886837.jpg,https://cdn21vek.by/img/galleries/5765/666/preview/romeo_sedija_012_5dcb9361e12b7.jpeg
425435728,SoundMax,Бездисковая автомагнитола,SM-CCR3184FB,93.0,55.8,55.8,40,"Была в эксплуатации, после сервиса, царапины, гарантия до 04.04.2023г.",https://www.21vek.by/cars_audio/smccr3184fb_soundmax.html,https://cdn21vek.by/img/galleries/5912/281/sale/4105593/preview/7839696723096385914.jpg,https://cdn21vek.by/img/galleries/5912/281/preview/smccr3184fb_soundmax_5e733908ce2db.jpeg
425422053,INDIGO,Стульчик для кормления,Bloom В003S,391.45,266.19,266.19,32,"Новый, сколы и загрязнения",https://www.21vek.by/highchairs/bloom003s_indigo__01.html,https://cdn21vek.by/img/galleries/6103/522/sale/4133941/preview/6335631880958543779.jpg,https://cdn21vek.by/img/galleries/6103/522/preview/bloom003s_indigo__01_6241935f856e6.jpeg
425436893,Евва,Тумба,Турин ТР-2D1V1S/S,245.0,164.15,164.15,33,"Новая, незначительные сколы почти на всех деталях, повреждение на одной задней стенке",https://www.21vek.by/chests_of_drawers/2d1v1ss_evva.html,https://cdn21vek.by/img/galleries/5909/667/sale/4153952/preview/1974994566856940591.jpg,https://cdn21vek.by/img/galleries/5909/667/preview/2d1v1ss_evva_611b5dd3a967b.jpeg
425448238,Sundays Baby,Детская прогулочная коляска,S600 Plus,456.0,267.75,267.75,41,"Новая, в комплекте нет чехла на сиденье",https://www.21vek.by/strollers/s600plus_sundays_baby_08.html,https://cdn21vek.by/img/galleries/5658/611/sale/4177371/preview/8108106282724952795.jpg,https://cdn21vek.by/img/galleries/5658/611/preview/s600plus_sundays_baby_08_5dd42edfa963c.jpeg
425416138,Redmond,Мультиварка,RMC-M22,269.9,159.24,159.24,41,"Была в эксплуатации, после сервисного обслуживания (замена температурного датчика), царапины, загрязнения, гарантия по 14.11.2022г.",https://www.21vek.by/electriccookers/redmond_rmc22_1.html,https://cdn21vek.by/img/galleries/69/989/sale/4121174/preview/4863140144516925062.jpg,https://cdn21vek.by/img/galleries/69/989/preview/redmond_rmc22_1_53452abbdb5a9.jpeg
425189791,Morelli,Ручка дверная,DIY MH-35 BL-S,43.13,23.72,23.72,45,"Новая, вздутия лкп. Без гарантии.",https://www.21vek.by/door_handles/diymh35bls_morelli.html,https://cdn21vek.by/img/galleries/580/922/sale/4029767/preview/7357527257050042222.jpg,https://cdn21vek.by/img/galleries/580/922/preview/diymh35bls_morelli_5b20d8727a5a7.jpeg
425189811,Morelli,Ручка дверная,DIY MH-35 BL-S,43.13,23.72,23.72,45,"Новая, вздутия лкп. Без гарантии.",https://www.21vek.by/door_handles/diymh35bls_morelli.html,https://cdn21vek.by/img/galleries/580/922/sale/4029761/preview/6880412807073179362.jpg,https://cdn21vek.by/img/galleries/580/922/preview/diymh35bls_morelli_5b20d8727a5a7.jpeg
425204487,Morelli,Ручка дверная,DIY MH-35 BL-S,43.13,23.72,23.72,45,"Новая, вздутия лкп. Без гарантии.",https://www.21vek.by/door_handles/diymh35bls_morelli.html,https://cdn21vek.by/img/galleries/580/922/sale/4029769/preview/2783197844100627255.jpg,https://cdn21vek.by/img/galleries/580/922/preview/diymh35bls_morelli_5b20d8727a5a7.jpeg
425422193,SV-мебель,Полуторная кровать,Спальня Эдем 2 140x200,359.0,208.22,208.22,42,"Новая, нетоварный вид упаковки, вздутия и небольшие сколы на изножье",https://www.21vek.by/beds/2140x200_sv_mebel_01.html,https://cdn21vek.by/img/galleries/1142/275/sale/4134675/preview/4863876233151272139.jpg,https://cdn21vek.by/img/galleries/1142/275/preview/2140x200_sv_mebel_01_5d526d6575dac.jpeg
